zone,format,total
list,List,108619
gazette,Article,3535033
map,Map,375301
map,Map/Aerial photograph,11667
map,Map/Atlas,36119
map,Map/Braille,124
map,Map/Electronic,6102
map,Map/Globe or object,549
map,Map/Large print ,49
map,Map/Map series,14629
map,Map/Single map,242356
map,Microform,14690
music,Sound,1371816
music,"Sound/Interview, lecture, talk",114701
music,Sound/Other sound,588774
music,Sound/Recorded music,690880
music,Video,948794
music,Video/Captioned,129508
music,Printed music,633896
music,Audio book,317473
music,Microform,5180
collection,Unpublished,4661687
collection,Published,270155
picture,Photograph,4569080
picture,Object,570893
picture,Art work,249501
picture,"Poster, chart, other",232787
picture,Microform,577
article,Article,10949016
article,Article/Abstract,2629
article,Article/Book chapter,189943
article,Article/Conference paper,396011
article,Article/Journal or magazine article,4764922
article,Article/Other article,4831656
article,Article/Report,689011
article,Article/Review,318881
article,Article/Working paper,89490
article,Periodical,2176562
article,"Periodical/Journal, magazine, other",2093742
article,Periodical/Newspaper,84510
article,Conference Proceedings,531036
article,Microform,332746
article,Data set,235663
book,Book,17811886
book,Book/Braille,36522
book,Book/Illustrated,8267834
book,Book/Large print,117521
book,Microform,892865
book,Thesis,652964
book,Conference Proceedings,531036
book,Audio book,317473
book,Archived website,24273
newspaper,Article,239723682
